name,time,nodeid,value
test,1518087693225614080,47235,"58243:27776,29,1,2024166322,#"
test,1518087694595456000,47235," "
test,1518087694597179904,47235,"51590:1,30,159,1192306,#"
test,1518087695342252032,47235," "
test,1518087695343970048,47235,"21767:0,30,159,1192149,#"
test,1518087696973212928,47235," "
test,1518087696975569920,47235,"58243:47235,26,98,-1882116309,#"
test,1518087697097742080,47235," "
test,1518087697100061952,47235,"58243:27776,29,1,2024166322,#"
test,1518087697222088960,47235," "
test,1518087697224445952,47235,"58243:47235,30,158,-1881510661,#"
test,1518087697294822912,47235," "
test,1518087697297276928,47235,"58243:47235,28,179,-1881391244,#"
test,1518087697423933952,47235," "
test,1518087697426316032,47235,"58243:47235,30,157,-1881519796,#"
test,1518087697552550144,47235," "
test,1518087697554712064,47235,"58243:47235,29,1,-1882278975,#"
test,1518087697683484160,47235," "
test,1518087697686093056,47235,"58243:47235,27,180,-1881419406,#"
test,1518087697812823040,47235," "
test,1518087697815059968,47235,"58243:47235,29,1,-1882278975,#"
test,1518087697970833920,47235," "
test,1518087697972830976,47235,"3815:17,26,95,1331858,#"
test,1518087698222621952,47235," "
test,1518087698224577792,47235,"58243:3815,26,95,-1457215488,#"
test,1518087698532474112,47235,waiting...
test,1518087699223299072,47235," "
test,1518087699225485056,47235,"58243:47235,26,98,-1882116309,#"
test,1518087700097820928,47235," "
test,1518087700100111104,47235,"58243:27776,30,1,2024210709,#"
test,1518087701471383040,47235," "
test,1518087701472897024,47235,"59398:18,27,14,1255919,#"
test,1518087701846624000,47235," "
test,1518087701848582144,47235,"43398:17,26,0,1070133,#"
test,1518087702474808832,47235," "
test,1518087702476594944,47235,"58243:47235,29,1,-1882278975,#"
test,1518087702592258048,47235," "
test,1518087702594928128,47235,"58243:47235,30,158,-1881510661,#"
test,1518087702721278976,47235," "
test,1518087702724034048,47235,"58243:47235,28,179,-1881391244,#"
test,1518087702850318080,47235," "
test,1518087702852822016,47235,"58243:47235,30,157,-1881519796,#"
test,1518087702979170048,47235," "
test,1518087702981225984,47235,"58243:47235,29,1,-1882278975,#"
test,1518087703109966080,47235," "
test,1518087703112577792,47235,"58243:47235,27,180,-1881419406,#"
test,1518087703239388928,47235," "
test,1518087703241300992,47235,"58243:47235,29,1,-1882278975,#"
test,1518087704473472000,47235," "
test,1518087704474875904,47235,"3815:17,26,95,1331858,#"
test,1518087704598222848,47235," "
test,1518087704600229888,47235,"58243:3815,26,95,-1457215488,#"
test,1518087706722508800,47235," "
test,1518087706723793920,47235,"21767:0,26,95,560517,#"
test,1518087707098763008,47235," "
test,1518087707100850176,47235,"58243:47235,29,1,-1882278975,#"
test,1518087707178518016,47235," "
test,1518087707180753920,47235,"58243:47235,30,158,-1881510661,#"
test,1518087707307254016,47235," "
test,1518087707309718016,47235,"58243:47235,28,179,-1881391244,#"
test,1518087707472861952,47235," "
test,1518087707475241984,47235,"58243:47235,30,157,-1881519796,#"
test,1518087707489316096,47235," "
test,1518087707491307008,47235,"27776:20,29,1,1670642,#"
test,1518087707597131008,47235," "
test,1518087707599298048,47235,"58243:47235,29,1,-1882278975,#"
test,1518087707695900928,47235," "
test,1518087707698533888,47235,"58243:47235,27,180,-1881419406,#"
test,1518087707824762112,47235," "
test,1518087707826923008,47235,"58243:47235,29,1,-1882278975,#"
test,1518087707955892992,47235," "
test,1518087707958424064,47235,"58243:47235,26,95,-1882133100,#"
test,1518087708097612032,47235," "
test,1518087708099374080,47235,"51590:1,30,158,1183113,#"
test,1518087708532320000,47235,waiting...
test,1518087710723803136,47235," "
test,1518087710725865984,47235,"58243:47235,29,1,-1882278975,#"
test,1518087710818514944,47235," "
test,1518087710821046016,47235,"58243:47235,30,158,-1881510661,#"
test,1518087710947400960,47235," "
test,1518087710950036992,47235,"58243:47235,28,179,-1881391244,#"
test,1518087711076546816,47235," "
test,1518087711078883840,47235,"58243:47235,30,157,-1881519796,#"
test,1518087711219698944,47235," "
test,1518087711221383168,47235,"27776:20,29,1,1670642,#"
test,1518087711346273792,47235," "
test,1518087711348169216,47235,"58243:47235,29,1,-1882278975,#"
test,1518087711464193024,47235," "
test,1518087711466742016,47235,"58243:47235,27,180,-1881419406,#"
test,1518087711593436928,47235," "
test,1518087711595588864,47235,"58243:47235,29,1,-1882278975,#"
test,1518087711971566080,47235," "
test,1518087711973488128,47235,"3815:17,26,95,1331858,#"
test,1518087712345050112,47235," "
test,1518087712347003904,47235,"58243:3815,26,95,-1457215488,#"
test,1518087713595936000,47235," "
test,1518087713597764864,47235,"1103:1,27,180,1274368,#"
test,1518087715097927936,47235," "
test,1518087715100188928,47235,"58243:47235,30,158,-1881510661,#"
test,1518087715166497024,47235," "
test,1518087715169033984,47235,"58243:47235,28,179,-1881391244,#"
test,1518087715212232960,47235," "
test,1518087715215574016,47235,"27776:20,30,1,1715029,#"
test,1518087715347652864,47235," "
test,1518087715350255872,47235,"58243:47235,30,157,-1881519796,#"
test,1518087715416812032,47235," "
test,1518087715418828032,47235,"58243:47235,29,1,-1882278975,#"
test,1518087715544601088,47235," "
test,1518087715546743040,47235,"58243:47235,29,1,-1882278975,#"
test,1518087715675465984,47235," "
test,1518087715679891200,47235,"58243:47235,27,180,-1881419406,#"
test,1518087715804836096,47235," "
test,1518087715806906880,47235,"58243:47235,29,1,-1882278975,#"
test,1518087717597079040,47235," "
test,1518087717598438144,47235,"21767:0,29,1,414642,#"
test,1518087718534748928,47235,waiting...
test,1518087718724466176,47235," "
test,1518087718726914816,47235,"58243:47235,30,158,-1881510661,#"
test,1518087718730835968,47235," "
test,1518087718733402880,47235,"58243:47235,28,179,-1881391244,#"
test,1518087718859632896,47235," "
test,1518087718861787136,47235,"58243:47235,30,1,-1882234588,#"
test,1518087718987624960,47235," "
test,1518087718990277888,47235,"58243:47235,30,157,-1881519796,#"
test,1518087719116559104,47235," "
test,1518087719118648064,47235,"58243:47235,29,1,-1882278975,#"
test,1518087719247329024,47235," "
test,1518087719249252096,47235,"58243:47235,29,1,-1882278975,#"
test,1518087719378500096,47235," "
test,1518087719380805120,47235,"58243:47235,27,180,-1881419406,#"
test,1518087719507635968,47235," "
test,1518087719509680128,47235,"58243:47235,29,1,-1882278975,#"
test,1518087720847734016,47235," "
test,1518087720849558016,47235,"3815:17,26,98,1348649,#"
test,1518087721220145920,47235," "
test,1518087721221708032,47235,"51590:1,30,159,1192306,#"
test,1518087721723881984,47235," "
test,1518087721726857984,47235,"58243:47235,30,158,-1881510661,#"
test,1518087721728274944,47235," "
test,1518087721729712896,47235,"58243:47235,28,179,-1881391244,#"
test,1518087721855003136,47235," "
test,1518087721857253120,47235,"58243:47235,30,1,-1882234588,#"
test,1518087721985883904,47235," "
test,1518087721988448000,47235,"58243:47235,30,157,-1881519796,#"
test,1518087722114938880,47235," "
test,1518087722116889088,47235,"58243:47235,29,1,-1882278975,#"
test,1518087722245726208,47235," "
test,1518087722247675904,47235,"58243:47235,29,1,-1882278975,#"
test,1518087722376739072,47235," "
test,1518087722379013888,47235,"58243:47235,27,180,-1881419406,#"
test,1518087722505881088,47235," "
test,1518087722507890944,47235,"58243:47235,29,1,-1882278975,#"
test,1518087723471323136,47235," "
test,1518087723473139968,47235,"43398:17,26,4,1070597,#"
test,1518087723595303168,47235," "
test,1518087723597615872,47235,"58243:43398,26,4,918966128,#"
test,1518087726097779968,47235," "
test,1518087726099392000,47235,"1103:1,27,180,1274368,#"
test,1518087726471479040,47235," "
test,1518087726473860864,47235,"58243:47235,30,159,-1881501468,#"
test,1518087726598681856,47235," "
test,1518087726601238016,47235,"58243:47235,30,158,-1881510661,#"
test,1518087726687191040,47235," "
test,1518087726689612032,47235,"58243:47235,28,179,-1881391244,#"
test,1518087726815980032,47235," "
test,1518087726818144000,47235,"58243:47235,30,1,-1882234588,#"
test,1518087726946720000,47235," "
test,1518087726949372160,47235,"58243:47235,30,157,-1881519796,#"
test,1518087727075844096,47235," "
test,1518087727077922048,47235,"58243:47235,29,1,-1882278975,#"
test,1518087727206414848,47235," "
test,1518087727208579072,47235,"58243:47235,29,1,-1882278975,#"
test,1518087727337969152,47235," "
test,1518087727342204928,47235,"58243:47235,27,180,-1881419406,#"
test,1518087727847197952,47235," "
test,1518087727849129984,47235,"51590:1,30,159,1192306,#"
test,1518087728532306944,47235,waiting...
