time,x,y,z,b,t,l,h,label
57695,0.58,0.14,0.8,1006.6,28.62,87.4,54.95,0
57742,0.6,0.11,0.8,1006.6,28.62,87.4,54.95,0
57789,0.6,0.12,0.81,1006.6,28.62,87.4,54.95,0
57835,0.59,0.12,0.8,1006.6,28.62,87.4,54.95,0
57882,0.59,0.15,0.82,1006.6,28.62,87.4,54.95,0
57929,0.6,0.15,0.81,1006.6,28.62,87.4,54.95,0
57976,0.59,0.16,0.81,1006.6,28.62,87.4,54.95,0
58023,0.59,0.15,0.8,1006.6,28.62,87.4,54.95,0
58070,0.59,0.15,0.81,1006.6,28.62,87.4,54.95,0
58117,0.59,0.14,0.8,1006.6,28.62,87.4,54.95,0
58164,0.6,0.14,0.81,1006.6,28.62,87.4,54.95,0
58179,0.6,0.14,0.81,1006.55,28.62,87.4,54.95,0
58187,0.6,0.14,0.81,1006.55,28.93,87.4,54.95,0
58187,0.6,0.14,0.81,1006.55,28.93,116,54.95,0
58187,0.6,0.14,0.81,1006.55,28.93,116,54.85,0
58226,0.6,0.15,0.81,1006.55,28.93,116,54.85,0
58273,0.6,0.15,0.8,1006.55,28.93,116,54.85,0
58320,0.59,0.16,0.81,1006.55,28.93,116,54.85,0
58367,0.58,0.15,0.8,1006.55,28.93,116,54.85,0
58414,0.58,0.15,0.81,1006.55,28.93,116,54.85,0
58460,0.59,0.16,0.8,1006.55,28.93,116,54.85,0
58507,0.58,0.17,0.79,1006.55,28.93,116,54.85,0
58554,0.59,0.17,0.8,1006.55,28.93,116,54.85,0
58601,0.6,0.19,0.8,1006.55,28.93,116,54.85,0
58648,0.61,0.19,0.79,1006.55,28.93,116,54.85,0
58679,0.61,0.19,0.79,1006.57,28.93,116,54.85,0
58695,0.62,0.14,0.81,1006.57,28.93,116,54.85,0
58742,0.62,0.13,0.82,1006.57,28.93,116,54.85,0
58789,0.59,0.11,0.8,1006.57,28.93,116,54.85,0
58835,0.59,0.12,0.81,1006.57,28.93,116,54.85,0
58882,0.6,0.13,0.8,1006.57,28.93,116,54.85,0
58929,0.6,0.14,0.81,1006.57,28.93,116,54.85,0
58976,0.59,0.13,0.81,1006.57,28.93,116,54.85,0
59023,0.59,0.13,0.81,1006.57,28.93,116,54.85,0
59070,0.59,0.15,0.8,1006.57,28.93,116,54.85,0
59117,0.59,0.16,0.8,1006.57,28.93,116,54.85,0
59164,0.59,0.17,0.8,1006.57,28.93,116,54.85,0
59179,0.59,0.17,0.8,1006.57,28.93,116,54.85,0
59187,0.59,0.17,0.8,1006.57,28.93,116,54.85,0
59187,0.59,0.17,0.8,1006.57,28.93,116.32,54.85,0
59187,0.59,0.17,0.8,1006.57,28.93,116.32,54.85,0
59226,0.58,0.13,0.81,1006.57,28.93,116.32,54.85,0
59273,0.59,0.13,0.82,1006.57,28.93,116.32,54.85,0
59320,0.6,0.14,0.81,1006.57,28.93,116.32,54.85,0
59367,0.6,0.15,0.81,1006.57,28.93,116.32,54.85,0
59414,0.6,0.15,0.81,1006.57,28.93,116.32,54.85,0
59460,0.58,0.15,0.82,1006.57,28.93,116.32,54.85,0
59507,0.58,0.15,0.83,1006.57,28.93,116.32,54.85,0
59554,0.56,0.14,0.81,1006.57,28.93,116.32,54.85,0
59601,0.58,0.14,0.82,1006.57,28.93,116.32,54.85,0
59648,0.59,0.13,0.81,1006.57,28.93,116.32,54.85,0
59679,0.59,0.13,0.81,1006.52,28.93,116.32,54.85,0
59695,0.61,0.12,0.81,1006.52,28.93,116.32,54.85,0
59742,0.59,0.13,0.84,1006.52,28.93,116.32,54.85,0
59789,0.58,0.14,0.81,1006.52,28.93,116.32,54.85,0
59835,0.57,0.14,0.82,1006.52,28.93,116.32,54.85,0
59882,0.58,0.14,0.81,1006.52,28.93,116.32,54.85,0
59929,0.59,0.13,0.8,1006.52,28.93,116.32,54.85,0
59976,0.59,0.12,0.8,1006.52,28.93,116.32,54.85,0
60023,0.59,0.13,0.81,1006.52,28.93,116.32,54.85,0
60070,0.58,0.14,0.82,1006.52,28.93,116.32,54.85,0
60117,0.59,0.15,0.82,1006.52,28.93,116.32,54.85,0
60164,0.59,0.15,0.82,1006.52,28.93,116.32,54.85,0
60179,0.59,0.15,0.82,1006.57,28.93,116.32,54.85,0
60187,0.59,0.15,0.82,1006.57,28.93,116.32,54.85,0
60187,0.59,0.15,0.82,1006.57,28.93,112.48,54.85,0
60187,0.59,0.15,0.82,1006.57,28.93,112.48,54.85,0
60226,0.59,0.14,0.82,1006.57,28.93,112.48,54.85,0
60273,0.59,0.14,0.81,1006.57,28.93,112.48,54.85,0
60320,0.59,0.13,0.81,1006.57,28.93,112.48,54.85,0
60367,0.58,0.13,0.82,1006.57,28.93,112.48,54.85,0
60414,0.58,0.12,0.81,1006.57,28.93,112.48,54.85,0
60460,0.59,0.13,0.82,1006.57,28.93,112.48,54.85,0
60507,0.59,0.16,0.82,1006.57,28.93,112.48,54.85,0
60554,0.58,0.16,0.8,1006.57,28.93,112.48,54.85,0
60601,0.59,0.18,0.81,1006.57,28.93,112.48,54.85,0
60648,0.59,0.17,0.81,1006.57,28.93,112.48,54.85,0
60679,0.59,0.17,0.81,1006.6,28.93,112.48,54.85,0
60695,0.59,0.15,0.82,1006.6,28.93,112.48,54.85,0
60742,0.59,0.15,0.8,1006.6,28.93,112.48,54.85,0
60789,0.58,0.16,0.81,1006.6,28.93,112.48,54.85,0
60835,0.6,0.16,0.8,1006.6,28.93,112.48,54.85,0
60882,0.59,0.17,0.81,1006.6,28.93,112.48,54.85,0
60929,0.58,0.18,0.81,1006.6,28.93,112.48,54.85,0
60976,0.58,0.18,0.81,1006.6,28.93,112.48,54.85,0
61023,0.58,0.18,0.81,1006.6,28.93,112.48,54.85,0
61070,0.58,0.18,0.81,1006.6,28.93,112.48,54.85,0
61117,0.59,0.18,0.8,1006.6,28.93,112.48,54.85,0
61164,0.59,0.17,0.8,1006.6,28.93,112.48,54.85,0
61179,0.59,0.17,0.8,1006.63,28.93,112.48,54.85,0
61187,0.59,0.17,0.8,1006.63,28.93,112.48,54.85,0
61187,0.59,0.17,0.8,1006.63,28.93,97.36,54.85,0
61187,0.59,0.17,0.8,1006.63,28.93,97.36,54.76,0
61226,0.59,0.16,0.81,1006.63,28.93,97.36,54.76,0
61273,0.59,0.14,0.8,1006.63,28.93,97.36,54.76,0
61320,0.58,0.18,0.82,1006.63,28.93,97.36,54.76,0
61367,0.59,0.19,0.79,1006.63,28.93,97.36,54.76,0
61414,0.61,0.2,0.79,1006.63,28.93,97.36,54.76,0
61460,0.62,0.18,0.8,1006.63,28.93,97.36,54.76,0
61507,0.59,0.13,0.8,1006.63,28.93,97.36,54.76,0
61554,0.57,0.15,0.81,1006.63,28.93,97.36,54.76,0
61601,0.57,0.18,0.81,1006.63,28.93,97.36,54.76,0
61648,0.6,0.19,0.8,1006.63,28.93,97.36,54.76,0
61679,0.6,0.19,0.8,1006.65,28.93,97.36,54.76,0
61695,0.61,0.18,0.8,1006.65,28.93,97.36,54.76,0
61742,0.6,0.17,0.79,1006.65,28.93,97.36,54.76,0
61789,0.59,0.17,0.81,1006.65,28.93,97.36,54.76,0
61835,0.59,0.17,0.81,1006.65,28.93,97.36,54.76,0
61882,0.59,0.17,0.8,1006.65,28.93,97.36,54.76,0
